,被试数量,样本序号,实验序号,实验处理,误差,p值
0,2,6,Exp3,horizontalMove,xIfNoGravityPredictError,0.2781504520345551
0,2,6,Exp3,noGravity,xIfNoGravityPredictError,0.32015574046368594
0,2,6,Exp3,gravity,yIfNoGravityPredictError,0.011179339904273292
0,2,6,Exp3,horizontalMove,yIfNoGravityPredictError,0.7419988844947589
0,2,6,Exp3,noGravity,yIfNoGravityPredictError,0.5005505198794853
0,2,6,Exp3,gravity,xIfGravityPredictError,0.33094473408089076
0,2,6,Exp3,horizontalMove,xIfGravityPredictError,0.2781504520345551
0,2,6,Exp3,noGravity,xIfGravityPredictError,0.31385031644682604
0,2,6,Exp3,gravity,yIfGravityPredictError,0.030994865797406027
0,2,6,Exp3,horizontalMove,yIfGravityPredictError,0.7419988844947589
0,2,6,Exp3,noGravity,yIfGravityPredictError,0.03163077472240457
0,2,7,Exp1,horizontal,Nothing,0.5034446716308594
0,2,7,Exp1,vertical,Nothing,0.5034446716308594
0,2,7,Exp2,"(0, 400)",水平误差,0.36243603412434366
0,2,7,Exp2,"(0, 800)",水平误差,0.8254595796775694
0,2,7,Exp2,"(45, 400)",水平误差,0.34056297730059104
0,2,7,Exp2,"(45, 800)",水平误差,0.056232904923637216
0,2,7,Exp2,"(90, 400)",水平误差,0.6828890534671119
0,2,7,Exp2,"(90, 800)",水平误差,0.49999999999999684
0,2,7,Exp2,"(135, 400)",水平误差,0.4625948815174556
0,2,7,Exp2,"(135, 800)",水平误差,0.6948604247373715
0,2,7,Exp2,"(180, 400)",水平误差,0.19716301805618858
0,2,7,Exp2,"(180, 800)",水平误差,0.37029210763461146
0,2,7,Exp2,"(225, 400)",水平误差,0.2567721868335313
0,2,7,Exp2,"(225, 800)",水平误差,0.06825242391505075
0,2,7,Exp2,"(270, 400)",水平误差,0.8178939962884936
0,2,7,Exp2,"(270, 800)",水平误差,0.44707064788081696
0,2,7,Exp2,"(315, 400)",水平误差,0.4625948815174484
0,2,7,Exp2,"(315, 800)",水平误差,0.0601431174403626
0,2,7,Exp2,"(0, 400)",垂直误差,0.37673641098269045
0,2,7,Exp2,"(0, 800)",垂直误差,0.16590463531263938
0,2,7,Exp2,"(45, 400)",垂直误差,0.40517237381429966
0,2,7,Exp2,"(45, 800)",垂直误差,0.3041040748208742
0,2,7,Exp2,"(90, 400)",垂直误差,0.4815859133916868
0,2,7,Exp2,"(90, 800)",垂直误差,0.044024563071866016
0,2,7,Exp2,"(135, 400)",垂直误差,0.294556276013992
0,2,7,Exp2,"(135, 800)",垂直误差,0.32643355231933935
0,2,7,Exp2,"(180, 400)",垂直误差,0.10382968780110736
0,2,7,Exp2,"(180, 800)",垂直误差,0.12566591637800134
